id,project_id,judge_id,score,feedback
1,3,3,62.15,Democratic huge help also it letter company actually today.
2,3,4,81.05,Where then report rest dark environment provide white.
3,3,2,57.38,Dog language ability practice them structure itself weight major discuss.
4,4,1,84.69,Expert because happen star name health top.
5,4,11,55.56,Must fly police imagine oil head work should challenge pull threat put imagine which beat.
6,6,16,66.59,Those four grow level send technology clearly amount media teacher person.
7,6,1,87.0,Game plan seat surface off with society station how statement thing wrong name mind offer effort.
8,7,7,77.32,Professor clearly dinner report friend bring rule someone nature house prevent hotel officer seek reach.
9,8,18,81.15,Difficult popular choose really send respond throw wide.
10,8,16,99.62,Manager trouble reason fill sense field decide point.
11,9,1,52.17,Age all building control simply author effect week instead group.
12,9,13,58.52,Action our gas heart field people try play order quickly with matter goal.
13,9,17,64.2,Red technology himself much better read per go will make agree.
14,11,20,73.25,While service beautiful edge begin early store.
15,11,9,97.26,Two lawyer see drop worker alone finally since take describe improve act campaign television sit very.
16,11,2,53.33,Attorney Congress ever north soon movie right education brother might community later table.
17,12,9,50.95,Face former body choice study current main.
18,12,12,93.37,Hold season president computer heavy few development.
19,12,4,82.47,Suffer director know red treatment big cause science water none just happen recognize after modern really.
20,13,13,75.43,Blood list everything newspaper institution assume enjoy we group husband try trade then building class.
21,16,4,93.34,Cost cultural process national newspaper long wife prevent old break always dark feel second hospital.
22,16,11,76.58,Art small both program one across they case TV team song country.
23,16,16,59.32,Long degree common need phone teach audience project tax certainly set local wrong authority.
24,17,15,51.99,East send style gun different energy arrive it that.
25,17,18,96.11,Agree public us hospital paper term security camera past so thousand position sense.
26,17,1,65.25,Drop miss market avoid outside individual no relate since.
27,18,13,50.92,Hard hotel let southern true field movement.
28,18,6,84.22,Try talk like maintain serious style operation nice radio out skill case.
29,19,10,99.8,Before majority garden military place edge environmental even eye message fine town.
30,19,8,98.93,Not give fill stay military in enough interest probably shoulder.
31,21,2,93.93,Soon read couple rather Republican need daughter leg minute.
32,21,9,94.52,Right then police day so store consumer positive market.
33,22,18,97.46,Hot response usually learn game effort author buy heavy nearly.
34,23,5,67.09,About country various until lawyer yard on everyone note current anything into word.
35,26,5,86.49,Blue join finish cause but set yes American audience blue movement camera benefit sea institution always.
